# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	980920	981204	+	ACT38598.1			integration host factor subunit beta	himD		ECB_00916	285	94	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	981412	983676	+					ycaI		ECB_00917	2265		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	981412	983676	+	ACT38599.1			conserved inner membrane protein	ycaI		ECB_00917	2265	754	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	983713	985461	+					msbA		ECB_00918	1749		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	983713	985461	+	ACT38600.1			fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component	msbA		ECB_00918	1749	582	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	985458	986444	+					lpxK		ECB_00919	987		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	985458	986444	+	ACT38601.1			tetraacyldisaccharide 4'-kinase	lpxK		ECB_00919	987	328	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	986481	987713	+					ycaQ		ECB_00920	1233		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	986481	987713	+	ACT38602.1			hypothetical protein	ycaQ		ECB_00920	1233	410	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	987765	987947	+					ycaR		ECB_00921	183		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	987765	987947	+	ACT38603.1			hypothetical protein	ycaR		ECB_00921	183	60	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	987944	988690	+					kdsB		ECB_00922	747		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	987944	988690	+	ACT38604.1			3-deoxy-manno-octulosonate cytidylyltransferase	kdsB		ECB_00922	747	248	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	988844	989737	+					ycbJ		ECB_00923	894		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	988844	989737	+	ACT38605.1			hypothetical protein	ycbJ		ECB_00923	894	297	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	989714	990493	-					ycbC		ECB_00924	780		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	989714	990493	-	ACT38606.1			conserved inner membrane protein	ycbC		ECB_00924	780	259	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	990629	991414	+					smtA		ECB_00925	786		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	990629	991414	+	ACT38607.1			predicted S-adenosyl-L-methionine-dependent methyltransferase	smtA		ECB_00925	786	261	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	991411	992733	+					mukF		ECB_00926	1323		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	991411	992733	+	ACT38608.1			condesin subunit F	mukF		ECB_00926	1323	440	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	992741	993418	+					mukE		ECB_00927	678		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	992741	993418	+	ACT38609.1			condesin subunit E	mukE		ECB_00927	678	225	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	993418	997878	+					mukB		ECB_00928	4461		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	993418	997878	+	ACT38610.1			cell division protein MukB	mukB		ECB_00928	4461	1486	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	998139	999986	+					ycbB		ECB_00929	1848		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	998139	999986	+	ACT38611.1			predicted carboxypeptidase	ycbB		ECB_00929	1848	615	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1000167	1000715	+					ycbK		ECB_00930	549		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1000167	1000715	+	ACT38612.1			hypothetical protein	ycbK		ECB_00930	549	182	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1000742	1001389	+					ycbL		ECB_00931	648		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1000742	1001389	+	ACT38613.1			predicted metal-binding enzyme	ycbL		ECB_00931	648	215	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1001611	1002801	-					aspC		ECB_00932	1191		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1001611	1002801	-	ACT38614.1			aspartate aminotransferase, PLP-dependent	aspC		ECB_00932	1191	396	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1002986	1004074	-					ompF		ECB_00933	1089		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1002986	1004074	-	ACT38615.1			outer membrane porin 1a (Ia;b;F)	ompF		ECB_00933	1089	362	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1004676	1006076	-					asnS		ECB_00934	1401		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1004676	1006076	-	ACT38616.1			asparaginyl-tRNA synthetase	asnS		ECB_00934	1401	466	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1006245	1007447	-					pncB		ECB_00935	1203		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1006245	1007447	-	ACT38617.1			nicotinate phosphoribosyltransferase	pncB		ECB_00935	1203	400	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1007713	1010325	+					pepN		ECB_00936	2613		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1007713	1010325	+	ACT38618.1			aminopeptidase N	pepN		ECB_00936	2613	870	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1010368	1011135	-					ssuB		ECB_00937	768		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1010368	1011135	-	ACT38619.1			alkanesulfonate transporter subunit	ssuB		ECB_00937	768	255	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1011132	1011923	-					ssuC		ECB_00938	792		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1011132	1011923	-	ACT38620.1			alkanesulfonate transporter subunit	ssuC		ECB_00938	792	263	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1011934	1013079	-					ssuD		ECB_00939	1146		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1011934	1013079	-	ACT38621.1			alkanesulfonate monooxygenase	ssuD		ECB_00939	1146	381	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1013076	1014035	-					ssuA		ECB_00940	960		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1013076	1014035	-	ACT38622.1			alkanesulfonate transporter subunit	ssuA		ECB_00940	960	319	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1014028	1014603	-					ssuE		ECB_00941	576		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1014028	1014603	-	ACT38623.1			NAD(P)H-dependent FMN reductase	ssuE		ECB_00941	576	191	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1014959	1015498	+					ycbQ		ECB_00942	540		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1014959	1015498	+	ACT38624.1			predicted fimbrial-like adhesin protein	ycbQ		ECB_00942	540	179	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1015581	1016282	+					ycbR		ECB_00943	702		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1015581	1016282	+	ACT38625.1			predicted periplasmic pilin chaperone	ycbR		ECB_00943	702	233	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1016307	1018907	+					ycbS		ECB_00944	2601		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1016307	1018907	+	ACT38626.1			predicted outer membrane usher protein	ycbS		ECB_00944	2601	866	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1018898	1019968	+					ycbT		ECB_00945	1071		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1018898	1019968	+	ACT38627.1			predicted fimbrial-like adhesin protein	ycbT		ECB_00945	1071	356	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1019980	1020522	+					ycbU		ECB_00946	543		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1019980	1020522	+	ACT38628.1			predicted fimbrial-like adhesin protein	ycbU		ECB_00946	543	180	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1020530	1021045	+					ycbV		ECB_00947	516		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1020530	1021045	+	ACT38629.1			predicted fimbrial-like adhesin protein	ycbV		ECB_00947	516	171	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1021038	1021748	+					ycbF		ECB_00948	711		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1021038	1021748	+	ACT38630.1			predicted periplasmic pilini chaperone	ycbF		ECB_00948	711	236	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1021859	1022869	+					pyrD		ECB_00949	1011		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1021859	1022869	+	ACT38631.1			dihydroorotate dehydrogenase	pyrD		ECB_00949	1011	336	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1023043	1023585	+					ycbW		ECB_00950	543		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1023043	1023585	+	ACT38632.1			hypothetical protein	ycbW		ECB_00950	543	180	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1023582	1024691	-					ycbX		ECB_00951	1110		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1023582	1024691	-	ACT38633.1			predicted 2Fe-2S cluster-containing protein	ycbX		ECB_00951	1110	369	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1024935	1027043	+					ycbY		ECB_00952	2109		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1024935	1027043	+	ACT38634.1			predicted methyltransferase	ycbY		ECB_00952	2109	702	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1027055	1028962	+					uup		ECB_00953	1908		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1027055	1028962	+	ACT38635.1			fused predicted transporter subunits of ABC superfamily: ATP-binding components	uup		ECB_00953	1908	635	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1029092	1030345	+					pqiA		ECB_00954	1254		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1029092	1030345	+	ACT38636.1			paraquat-inducible membrane protein A	pqiA		ECB_00954	1254	417	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1030350	1031990	+					pqiB		ECB_00955	1641		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1030350	1031990	+	ACT38637.1			paraquat-inducible protein B	pqiB		ECB_00955	1641	546	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1032002	1032550	+					ymbA		ECB_00956	549		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1032002	1032550	+	ACT38638.1			hypothetical protein	ymbA		ECB_00956	549	182	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1032806	1032973	+					rmf		ECB_00957	168		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1032806	1032973	+	ACT38639.1			ribosome modulation factor	rmf		ECB_00957	168	55	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1033043	1033561	-					fabA		ECB_00958	519		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1033043	1033561	-	ACT38640.1			3-hydroxydecanoyl-ACP dehydratase	fabA		ECB_00958	519	172	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1033630	1035390	-					ycbZ		ECB_00959	1761		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1033630	1035390	-	ACT38641.1			predicted peptidase	ycbZ		ECB_00959	1761	586	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1035576	1036028	+					ycbG		ECB_00960	453		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1035576	1036028	+	ACT38642.1			hypothetical protein	ycbG		ECB_00960	453	150	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1036104	1037144	-					ompA		ECB_00961	1041		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1036104	1037144	-	ACT38643.1			outer membrane protein A (3a;II*;G;d)	ompA		ECB_00961	1041	346	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1037501	1038010	-					sulA		ECB_00962	510		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1037501	1038010	-	ACT38644.1			SOS cell division inhibitor	sulA		ECB_00962	510	169	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1038229	1038858	+					yccR		ECB_00963	630		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1038229	1038858	+	ACT38645.1			hypothetical protein	yccR		ECB_00963	630	209	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1038821	1040974	-					yccS		ECB_00964	2154		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1038821	1040974	-	ACT38646.1			predicted inner membrane protein	yccS		ECB_00964	2154	717	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1040993	1041439	-					yccF		ECB_00965	447		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1040993	1041439	-	ACT38647.1			conserved inner membrane protein	yccF		ECB_00965	447	148	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1041562	1043616	+					helD		ECB_00966	2055		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1041562	1043616	+	ACT38648.1			DNA helicase IV	helD		ECB_00966	2055	684	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1043648	1044106	-					mgsA		ECB_00967	459		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1043648	1044106	-	ACT38649.1			methylglyoxal synthase	mgsA		ECB_00967	459	152	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1044202	1044864	-					yccT		ECB_00968	663		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1044202	1044864	-	ACT38650.1			hypothetical protein	yccT		ECB_00968	663	220	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045037	1045450	+					yccU		ECB_00969	414		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045037	1045450	+	ACT38651.1			predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	yccU		ECB_00969	414	137	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045495	1045812	-					yccV		ECB_00970	318		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045495	1045812	-	ACT38652.1			DNA-binding protein, hemimethylated	yccV		ECB_00970	318	105	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045870	1046973	-					yccW		ECB_00971	1104		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1045870	1046973	-	ACT38653.1			predicted methyltransferase	yccW		ECB_00971	1104	367	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047155	1047433	+					yccX		ECB_00972	279		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047155	1047433	+	ACT38654.1			predicted acylphosphatase	yccX		ECB_00972	279	92	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047430	1047759	-					yccK		ECB_00973	330		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047430	1047759	-	ACT38655.1			predicted sulfite reductase subunit	yccK		ECB_00973	330	109	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047850	1048509	-					yccA		ECB_00974	660		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1047850	1048509	-	ACT38656.1			inner membrane protein	yccA		ECB_00974	660	219	
gene	tRNA	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1048716	1048803	-					serT		ECB_t00023	88		
tRNA		GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1048716	1048803	-				tRNA-Ser	serT		ECB_t00023	88		
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1049230	1050348	+					hyaA		ECB_00975	1119		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1049230	1050348	+	ACT38657.1			hydrogenase 1, small subunit	hyaA		ECB_00975	1119	372	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1050345	1052138	+					hyaB		ECB_00976	1794		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1050345	1052138	+	ACT38658.1			hydrogenase 1, large subunit	hyaB		ECB_00976	1794	597	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1052157	1052864	+					hyaC		ECB_00977	708		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1052157	1052864	+	ACT38659.1			hydrogenase 1, b-type cytochrome subunit	hyaC		ECB_00977	708	235	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1052861	1053448	+					hyaD		ECB_00978	588		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1052861	1053448	+	ACT38660.1			HyaD	hyaD		ECB_00978	588	195	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1053445	1053843	+					hyaE		ECB_00979	399		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1053445	1053843	+	ACT38661.1			HyaE	hyaE		ECB_00979	399	132	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1053840	1054697	+					hyaF		ECB_00980	858		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1053840	1054697	+	ACT38662.1			HyaF	hyaF		ECB_00980	858	285	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1054831	1056375	+					appC		ECB_00981	1545		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1054831	1056375	+	ACT38663.1			cytochrome bd-II oxidase, subunit I	appC		ECB_00981	1545	514	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1056387	1057523	+					appB		ECB_00982	1137		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1056387	1057523	+	ACT38664.1			cytochrome bd-II oxidase, subunit II	appB		ECB_00982	1137	378	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1057708	1059006	+					appA		ECB_00983	1299		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1057708	1059006	+	ACT38665.1			phosphoanhydride phosphorylase	appA		ECB_00983	1299	432	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1059121	1061301	-					yccC		ECB_00984	2181		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1059121	1061301	-	ACT38666.1			cryptic autophosphorylating protein tyrosine kinase Etk	yccC		ECB_00984	2181	726	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1061321	1061767	-					yccY		ECB_00985	447		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1061321	1061767	-	ACT38667.1			phosphotyrosine-protein phosphatase	yccY		ECB_00985	447	148	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1061755	1062894	-					yccZ		ECB_00986	1140		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1061755	1062894	-	ACT38668.1			predicted exopolysaccharide export protein	yccZ		ECB_00986	1140	379	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1062940	1065036	-					ymcA		ECB_00987	2097		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1062940	1065036	-	ACT38669.1			hypothetical protein	ymcA		ECB_00987	2097	698	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1065036	1065782	-					ymcB		ECB_00988	747		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1065036	1065782	-	ACT38670.1			hypothetical protein	ymcB		ECB_00988	747	248	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1065779	1066423	-					ymcC		ECB_00989	645		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1065779	1066423	-	ACT38671.1			predicted outer membrane lipoprotein	ymcC		ECB_00989	645	214	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1066530	1066835	-					ymcD		ECB_00990	306		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1066530	1066835	-	ACT38672.1			hypothetical protein	ymcD		ECB_00990	306	101	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1067254	1067466	-					cspH		ECB_00991	213		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1067254	1067466	-	ACT38673.1			stress protein, member of the CspA-family	cspH		ECB_00991	213	70	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1067752	1067964	+					cspG		ECB_00992	213		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1067752	1067964	+	ACT38674.1			DNA-binding transcriptional regulator	cspG		ECB_00992	213	70	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068138	1068368	+					sfa		ECB_00993	231		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068138	1068368	+	ACT38675.1			cold shock gene	sfa		ECB_00993	231	76	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068358	1068531	+					gnsA		ECB_00994	174		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068358	1068531	+	ACT38676.1			predicted regulator of phosphatidylethanolamine synthesis	gnsA		ECB_00994	174	57	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068579	1069652	-					yccM		ECB_00995	1074		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1068579	1069652	-	ACT38677.1			predicted 4Fe-4S membrane protein	yccM		ECB_00995	1074	357	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1069724	1072468	-					torS		ECB_00996	2745		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1069724	1072468	-	ACT38678.1			hybrid sensory histidine kinase in two-component regulatory system with TorR	torS		ECB_00996	2745	914	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1072551	1073579	+					torT		ECB_00997	1029		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1072551	1073579	+	ACT38679.1			periplasmic sensory protein associated with the TorRS two-component regulatory system	torT		ECB_00997	1029	342	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1073552	1074244	-					torR		ECB_00998	693		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1073552	1074244	-	ACT38680.1			DNA-binding response regulator in two-component regulatory system with TorS	torR		ECB_00998	693	230	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1074374	1075546	+					torC		ECB_00999	1173		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1074374	1075546	+	ACT38681.1			trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit	torC		ECB_00999	1173	390	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1075546	1078092	+					torA		ECB_01000	2547		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1075546	1078092	+	ACT38682.1			trimethylamine N-oxide (TMAO) reductase I, catalytic subunit	torA		ECB_01000	2547	848	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1078089	1078688	+					torD		ECB_01001	600		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1078089	1078688	+	ACT38683.1			chaperone protein TorD	torD		ECB_01001	600	199	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1078840	1079145	-					yccD		ECB_01002	306		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1078840	1079145	-	ACT38684.1			modulator of CbpA co-chaperone	yccD		ECB_01002	306	101	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1079145	1080065	-					cbpA		ECB_01003	921		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1079145	1080065	-	ACT38685.1			curved DNA-binding protein, DnaJ-like protein	cbpA		ECB_01003	921	306	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1080326	1081585	+					yccE		ECB_01004	1260		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1080326	1081585	+	ACT38686.1			hypothetical protein	yccE		ECB_01004	1260	419	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1081868	1083109	+					agp		ECB_01005	1242		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1081868	1083109	+	ACT38687.1			glucose-1-phosphatase/inositol phosphatase	agp		ECB_01005	1242	413	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1083147	1083374	-					yccJ		ECB_01006	228		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	1083147	1083374	-	ACT38688.1			hypothetical protein	yccJ		ECB_01006	228	75	
